matricula,nombre,apellidos,f_nacimiento,sexo,egreso,area,estado_laboral,sueldo
6571408,Nombre 302,Apellido 302,01/03/2006,M,03/05/2025,medicina,1,17777.88
5058356,Nombre 303,Apellido 303,02/11/1984,M,21/06/2016,humanidades,1,17822.01
4419667,Nombre 304,Apellido 304,16/03/1994,H,30/06/2021,ciencias sociales,1,17829.11
6312299,Nombre 305,Apellido 305,04/10/1976,H,17/12/2000,humanidades,1,17833
2691938,Nombre 306,Apellido 306,26/01/1986,H,06/12/2015,ciencias sociales,1,17843.9
4781915,Nombre 307,Apellido 307,02/04/1981,H,08/11/2017,medicina,1,17857.48
7694977,Nombre 308,Apellido 308,03/08/1982,M,26/09/2017,humanidades,1,17862.16
3263127,Nombre 309,Apellido 309,09/05/1986,H,02/04/2024,ingeniería,0,
5289985,Nombre 310,Apellido 310,01/02/1988,M,14/09/2013,humanidades,1,17884.84
2556873,Nombre 311,Apellido 311,03/02/1977,M,30/04/2017,humanidades,0,
4620162,Nombre 312,Apellido 312,30/12/1975,H,19/04/2020,humanidades,0,
6729042,Nombre 313,Apellido 313,05/04/1973,H,17/07/1999,humanidades,1,17891.94
2671657,Nombre 314,Apellido 314,09/02/1989,M,08/01/2019,medicina,1,17937.02
7199592,Nombre 315,Apellido 315,19/02/1980,M,03/02/2005,ciencias sociales,1,17947.05
2167146,Nombre 316,Apellido 316,31/03/1981,H,11/03/2004,ciencias sociales,0,
6676450,Nombre 317,Apellido 317,30/05/1999,H,23/11/2025,medicina,1,17965.84
8964407,Nombre 318,Apellido 318,18/02/1994,H,26/09/2015,ingeniería,0,
9046769,Nombre 319,Apellido 319,14/12/1990,M,20/09/2011,ciencias sociales,1,17968.31
9167541,Nombre 320,Apellido 320,03/12/1989,H,23/04/2020,ciencias sociales,1,17969.19
3541493,Nombre 321,Apellido 321,25/01/1987,H,04/01/2010,ciencias sociales,1,17969.74
9831295,Nombre 322,Apellido 322,18/09/1984,M,23/04/2018,humanidades,1,17970.35
6874450,Nombre 323,Apellido 323,24/03/2006,H,18/10/2026,humanidades,1,17973.15
6026337,Nombre 324,Apellido 324,11/09/1988,M,29/12/2023,ciencias sociales,1,17978.72
2496017,Nombre 325,Apellido 325,17/08/2004,H,05/11/2025,humanidades,1,17982.34
5241550,Nombre 326,Apellido 326,01/02/1974,H,15/03/2025,humanidades,1,17988.69
4787717,Nombre 327,Apellido 327,06/08/1986,H,22/04/2024,ciencias sociales,0,
5439039,Nombre 328,Apellido 328,15/11/2006,M,05/12/2025,ciencias sociales,1,17992.4
7754079,Nombre 329,Apellido 329,01/02/1992,H,08/03/2019,ingeniería,1,17994.95
3534885,Nombre 330,Apellido 330,12/07/1983,H,26/01/2025,ciencias sociales,1,18005.88
8257567,Nombre 331,Apellido 331,30/08/1982,M,07/04/2019,humanidades,1,18014.6
5129813,Nombre 332,Apellido 332,07/08/1973,M,22/11/2015,humanidades,1,18018.49
7577871,Nombre 333,Apellido 333,29/07/1999,H,08/06/2025,ciencias sociales,1,18024.09
4302127,Nombre 334,Apellido 334,10/12/1992,H,21/01/2020,medicina,1,18031.96
8435717,Nombre 335,Apellido 335,23/06/2000,M,15/09/2021,ciencias sociales,1,18037.23
5227650,Nombre 336,Apellido 336,02/01/1984,M,14/11/2025,ciencias sociales,1,18046.81
9750930,Nombre 337,Apellido 337,21/05/1986,H,18/09/2023,ciencias sociales,1,18059.88
4364146,Nombre 338,Apellido 338,18/05/1975,M,05/09/2026,medicina,1,18068.09
4618981,Nombre 339,Apellido 339,12/04/1984,M,14/09/2008,ciencias sociales,1,18068.93
4628277,Nombre 340,Apellido 340,11/12/1982,H,23/12/2020,ciencias sociales,1,18079.73
7330486,Nombre 341,Apellido 341,10/07/1984,M,18/10/2025,humanidades,1,18098.9
1135513,Nombre 342,Apellido 342,19/09/1992,M,23/11/2015,ciencias sociales,1,18101.67
6445446,Nombre 343,Apellido 343,09/02/1997,M,27/06/2022,humanidades,1,18140.48
6043586,Nombre 344,Apellido 344,23/04/1996,H,08/01/2021,ciencias sociales,0,
4125618,Nombre 345,Apellido 345,22/03/1974,M,06/08/2006,ingeniería,1,18151.71
8786577,Nombre 346,Apellido 346,17/09/1978,M,16/05/2012,humanidades,1,18155.75
2712236,Nombre 347,Apellido 347,04/01/1999,M,08/07/2021,ingeniería,1,18173.03
2066495,Nombre 348,Apellido 348,26/10/1989,M,22/10/2012,humanidades,1,18179.57
6188965,Nombre 349,Apellido 349,02/05/1978,H,28/05/2005,ciencias sociales,1,18183.96
8317450,Nombre 350,Apellido 350,11/05/2007,H,19/08/2026,medicina,1,18196.29
4096145,Nombre 351,Apellido 351,15/08/2006,H,08/09/2026,ciencias sociales,1,18226.47
2494081,Nombre 352,Apellido 352,27/01/1998,H,12/11/2018,humanidades,0,
8204319,Nombre 353,Apellido 353,24/03/2000,M,08/10/2024,medicina,1,18228.21
4305398,Nombre 354,Apellido 354,01/01/1999,M,21/07/2021,medicina,1,18232.71
9270838,Nombre 355,Apellido 355,07/03/1988,M,12/11/2023,medicina,1,18236.75
2718799,Nombre 356,Apellido 356,11/07/1973,H,09/03/1997,humanidades,1,18259.78
6987977,Nombre 357,Apellido 357,05/10/1992,M,01/06/2021,ingeniería,1,18263.52
6033167,Nombre 358,Apellido 358,24/05/1970,M,29/07/2004,ciencias sociales,1,18263.57
4470594,Nombre 359,Apellido 359,08/01/1995,M,10/11/2023,medicina,1,18278.61
4668624,Nombre 360,Apellido 360,02/10/1986,H,16/05/2018,ciencias sociales,1,18278.79
3274617,Nombre 361,Apellido 361,09/05/1999,M,20/10/2022,ingeniería,1,18286.08
9481497,Nombre 362,Apellido 362,27/10/1985,H,14/10/2015,ingeniería,1,18297.89
2018702,Nombre 363,Apellido 363,02/12/1985,H,17/06/2023,medicina,1,18299.38
6145171,Nombre 364,Apellido 364,03/02/1996,M,05/11/2015,humanidades,1,18310.38
6185033,Nombre 365,Apellido 365,28/06/2006,H,06/09/2025,ciencias sociales,1,18325.73
3436947,Nombre 366,Apellido 366,28/01/2007,M,31/05/2026,ciencias sociales,1,18334.34
9597485,Nombre 367,Apellido 367,03/03/1981,M,12/01/2019,humanidades,1,18340.43
3217783,Nombre 368,Apellido 368,10/09/1988,M,15/10/2020,humanidades,1,18345.97
7187885,Nombre 369,Apellido 369,12/04/1998,M,05/07/2021,ciencias sociales,0,
7888090,Nombre 370,Apellido 370,18/03/1995,M,28/07/2017,ingeniería,1,18356.12
5413578,Nombre 371,Apellido 371,20/08/1978,H,12/05/2002,humanidades,1,18361.55
3398842,Nombre 372,Apellido 372,11/10/1993,H,22/04/2014,ciencias sociales,1,18369.76
4244331,Nombre 373,Apellido 373,17/01/1971,M,17/06/2011,medicina,1,18378.87
8033252,Nombre 374,Apellido 374,21/01/1970,H,01/10/2023,ciencias sociales,1,18381.78
1271818,Nombre 375,Apellido 375,16/07/1979,M,09/08/2002,humanidades,1,18414
7139616,Nombre 376,Apellido 376,21/10/2006,H,26/09/2026,humanidades,1,18420.13
2256605,Nombre 377,Apellido 377,31/08/1990,M,16/05/2024,ciencias sociales,1,18438.32
9342129,Nombre 378,Apellido 378,26/08/1994,M,24/07/2023,ciencias sociales,1,18448.71
9248755,Nombre 379,Apellido 379,14/11/1995,H,25/02/2018,ciencias sociales,0,
6562191,Nombre 380,Apellido 380,12/02/1999,M,14/08/2021,humanidades,0,
6011448,Nombre 381,Apellido 381,29/04/2006,H,05/09/2026,ciencias sociales,1,18452.59
7854476,Nombre 382,Apellido 382,11/03/1993,M,28/12/2012,ciencias sociales,1,18473.59
4416757,Nombre 383,Apellido 383,30/11/1987,H,29/05/2021,medicina,1,18480.29
2361258,Nombre 384,Apellido 384,20/10/1982,M,31/12/2004,ciencias sociales,1,18487.65
3352712,Nombre 385,Apellido 385,31/08/1973,H,07/10/2000,ciencias sociales,1,18489.03
7434678,Nombre 386,Apellido 386,18/09/1974,M,09/07/2024,ingeniería,1,18499.21
1803946,Nombre 387,Apellido 387,17/04/1991,M,01/04/2019,ciencias sociales,1,18511.97
9479841,Nombre 388,Apellido 388,13/06/2001,H,21/10/2022,ciencias sociales,1,18531.93
3711272,Nombre 389,Apellido 389,15/08/1999,H,31/03/2023,humanidades,0,
4394887,Nombre 390,Apellido 390,31/05/1989,M,28/03/2010,ciencias sociales,1,18538.66
2650895,Nombre 391,Apellido 391,27/05/2001,H,25/08/2020,ingeniería,1,18541.78
3028973,Nombre 392,Apellido 392,01/08/2001,M,21/09/2026,medicina,0,
6663029,Nombre 393,Apellido 393,01/11/1984,M,25/09/2026,ciencias sociales,1,18542.13
8019873,Nombre 394,Apellido 394,05/09/1999,M,12/07/2022,ingeniería,1,18547.33
9118829,Nombre 395,Apellido 395,01/05/1990,H,10/04/2026,ciencias sociales,1,18571.88
5149057,Nombre 396,Apellido 396,14/10/1994,M,01/12/2023,humanidades,1,18578.69
5975644,Nombre 397,Apellido 397,25/08/1973,H,06/04/1999,ciencias sociales,1,18596.07
3014491,Nombre 398,Apellido 398,11/11/1978,M,26/10/2013,ingeniería,0,
9026480,Nombre 399,Apellido 399,19/09/2000,H,06/03/2021,ciencias sociales,0,
4519685,Nombre 400,Apellido 400,16/08/2004,M,10/07/2024,ciencias sociales,1,18599.14
1309898,Nombre 401,Apellido 401,16/10/1981,H,30/01/2026,medicina,0,
1587718,Nombre 402,Apellido 402,05/01/1981,H,17/12/2019,ciencias sociales,0,
6879451,Nombre 403,Apellido 403,18/01/1981,H,03/08/2021,humanidades,1,18601.02
8796299,Nombre 404,Apellido 404,07/06/1984,M,03/06/2017,humanidades,1,18628.3
1806101,Nombre 405,Apellido 405,05/10/1985,M,08/06/2010,ciencias sociales,1,18630.52
7073685,Nombre 406,Apellido 406,28/08/2006,M,04/11/2025,ingeniería,0,
2981549,Nombre 407,Apellido 407,01/12/1975,M,11/04/2003,ingeniería,1,18640.62
8342239,Nombre 408,Apellido 408,21/05/2006,M,25/10/2025,ingeniería,1,18645.27
2605153,Nombre 409,Apellido 409,04/01/1976,H,27/02/2006,ciencias sociales,1,18646.67
5574697,Nombre 410,Apellido 410,11/06/1982,M,10/08/2017,humanidades,1,18651.32
4170028,Nombre 411,Apellido 411,15/12/1981,M,30/12/2013,ingeniería,1,18670.27
3034101,Nombre 412,Apellido 412,26/11/2002,M,02/11/2022,humanidades,1,18674.98
9107835,Nombre 413,Apellido 413,17/06/1989,H,23/03/2011,humanidades,1,18675.61
6879453,Nombre 414,Apellido 414,10/12/1997,H,18/08/2023,humanidades,1,18692.86
7846072,Nombre 415,Apellido 415,04/02/1973,M,17/08/2024,medicina,1,18705.36
7660573,Nombre 416,Apellido 416,13/12/1972,M,19/12/1996,medicina,0,
8835015,Nombre 417,Apellido 417,13/06/1973,H,17/12/2013,ingeniería,0,
9658327,Nombre 418,Apellido 418,29/09/1995,M,20/08/2024,medicina,1,18714.23
2165671,Nombre 419,Apellido 419,02/01/1996,M,28/12/2022,ciencias sociales,1,18727.88
7299098,Nombre 420,Apellido 420,15/12/2002,M,27/08/2024,humanidades,1,18738.98
7048420,Nombre 421,Apellido 421,19/01/1984,H,07/12/2020,ciencias sociales,1,18739.74
6489708,Nombre 422,Apellido 422,12/02/1998,M,13/05/2017,medicina,1,18740.96
7431170,Nombre 423,Apellido 423,28/05/1989,M,21/07/2024,ciencias sociales,1,18750.26
3544944,Nombre 424,Apellido 424,08/03/1972,H,03/04/2020,ingeniería,0,
8381216,Nombre 425,Apellido 425,26/08/2000,H,26/12/2022,humanidades,0,
2078089,Nombre 426,Apellido 426,26/07/1988,M,24/08/2015,ciencias sociales,1,18762.74
8970150,Nombre 427,Apellido 427,29/10/1989,M,13/05/2012,medicina,1,18765.39
2407947,Nombre 428,Apellido 428,11/04/1972,M,08/10/2019,medicina,0,
8053058,Nombre 429,Apellido 429,28/11/1975,M,22/12/2000,humanidades,1,18770.02
7451747,Nombre 430,Apellido 430,26/07/1996,H,01/03/2024,humanidades,1,18773.04
5839218,Nombre 431,Apellido 431,03/08/2000,H,10/02/2025,ciencias sociales,1,18778.86
3922221,Nombre 432,Apellido 432,12/07/1972,H,13/07/1994,medicina,0,
3755687,Nombre 433,Apellido 433,29/03/1972,H,26/06/2026,ciencias sociales,1,18783.1
7523958,Nombre 434,Apellido 434,27/11/2000,H,04/02/2026,ciencias sociales,1,18784.71
2552275,Nombre 435,Apellido 435,12/05/1974,H,14/07/2004,ingeniería,1,18787.51
3351423,Nombre 436,Apellido 436,31/03/1972,M,24/01/1992,ingeniería,1,18792.58
3212246,Nombre 437,Apellido 437,18/09/1975,H,27/11/2020,humanidades,1,18824.39
4037438,Nombre 438,Apellido 438,30/08/1976,M,22/01/2016,humanidades,1,18847.03
7524537,Nombre 439,Apellido 439,02/02/1972,H,26/12/2000,ingeniería,1,18848.59
9994889,Nombre 440,Apellido 440,31/08/2004,H,16/11/2024,humanidades,1,18853.99
6471963,Nombre 441,Apellido 441,29/03/2001,H,29/03/2022,ciencias sociales,0,
8730461,Nombre 442,Apellido 442,25/10/1970,H,20/11/2003,humanidades,1,18856.65
1580499,Nombre 443,Apellido 443,07/03/1995,M,26/05/2016,ciencias sociales,1,18858.99
6164477,Nombre 444,Apellido 444,10/07/1994,M,24/09/2023,ciencias sociales,1,18860.85
8549706,Nombre 445,Apellido 445,19/07/1972,H,08/09/1995,humanidades,0,
4856443,Nombre 446,Apellido 446,19/04/1993,M,23/11/2017,ingeniería,1,18865.26
5216593,Nombre 447,Apellido 447,16/12/1977,M,28/01/2000,ciencias sociales,0,
9489258,Nombre 448,Apellido 448,30/12/1997,H,21/03/2021,humanidades,1,18894.75
1134677,Nombre 449,Apellido 449,20/11/1988,M,13/01/2012,humanidades,0,
5994284,Nombre 450,Apellido 450,31/10/1976,H,05/01/2001,medicina,1,18897.49
9251494,Nombre 451,Apellido 451,16/10/1975,H,03/02/2023,humanidades,0,
4824600,Nombre 452,Apellido 452,23/01/1977,M,22/06/2002,medicina,0,
6149305,Nombre 453,Apellido 453,05/12/1972,M,03/12/2010,ciencias sociales,1,18906.76
3096916,Nombre 454,Apellido 454,06/10/1998,H,26/10/2025,ciencias sociales,0,
2182684,Nombre 455,Apellido 455,20/10/1994,M,20/07/2024,medicina,1,18907.43
9977502,Nombre 456,Apellido 456,15/04/1983,M,15/02/2009,ciencias sociales,1,18937.37
1805473,Nombre 457,Apellido 457,29/07/1986,H,16/04/2026,ciencias sociales,1,18951.73
6296462,Nombre 458,Apellido 458,09/04/1989,H,27/01/2009,ciencias sociales,0,
1238398,Nombre 459,Apellido 459,27/12/1985,H,18/08/2014,ingeniería,1,18954.91
1776856,Nombre 460,Apellido 460,16/10/1980,H,01/12/2021,ciencias sociales,1,18961.59
1786873,Nombre 461,Apellido 461,15/05/2000,H,23/06/2025,ciencias sociales,1,18971.99
2606044,Nombre 462,Apellido 462,24/12/2004,M,12/11/2024,humanidades,1,18992.75
4474393,Nombre 463,Apellido 463,13/04/1994,H,14/05/2016,ingeniería,1,18994.9
4806080,Nombre 464,Apellido 464,10/05/1996,H,14/02/2021,ingeniería,1,18997.95
3618067,Nombre 465,Apellido 465,31/12/1996,M,26/05/2016,medicina,0,
2795830,Nombre 466,Apellido 466,09/02/1985,M,05/02/2010,ingeniería,1,18999.62
6966062,Nombre 467,Apellido 467,11/11/2001,M,19/04/2021,medicina,1,19003.79
7781765,Nombre 468,Apellido 468,09/08/1972,M,17/10/1998,ingeniería,0,
8230317,Nombre 469,Apellido 469,29/04/1985,H,07/08/2008,ciencias sociales,1,19010.38
6076680,Nombre 470,Apellido 470,10/01/1985,H,22/03/2022,humanidades,1,19052.77
8094873,Nombre 471,Apellido 471,12/04/1991,M,11/03/2016,ingeniería,0,
7990916,Nombre 472,Apellido 472,24/08/2001,M,17/01/2023,ciencias sociales,1,19065.53
4572449,Nombre 473,Apellido 473,15/08/1978,H,31/03/2006,medicina,1,19072.94
1992942,Nombre 474,Apellido 474,20/04/1982,H,04/09/2013,humanidades,1,19084.76
6251990,Nombre 475,Apellido 475,14/07/1998,M,12/07/2022,medicina,1,19124.75
6660223,Nombre 476,Apellido 476,26/09/1971,M,02/03/2002,ciencias sociales,0,
6352912,Nombre 477,Apellido 477,27/06/1972,M,30/04/2023,humanidades,1,19134.45
3814857,Nombre 478,Apellido 478,08/04/1975,M,19/11/2006,medicina,1,19153.31
4978994,Nombre 479,Apellido 479,17/05/1970,H,26/04/2009,ciencias sociales,1,19154.08
9715752,Nombre 480,Apellido 480,29/06/1979,H,25/09/2024,humanidades,1,19157.97
8026989,Nombre 481,Apellido 481,15/06/1982,H,09/07/2010,ciencias sociales,1,19160.42
6990241,Nombre 482,Apellido 482,10/08/1987,H,30/01/2025,humanidades,1,19176.15
7727184,Nombre 483,Apellido 483,16/10/2001,M,11/02/2026,humanidades,1,19182.04
1055290,Nombre 484,Apellido 484,08/02/1978,H,29/08/2007,ciencias sociales,0,
2085234,Nombre 485,Apellido 485,15/01/1972,H,16/05/2006,ciencias sociales,1,19185.46
9251377,Nombre 486,Apellido 486,31/08/1976,M,08/09/1998,humanidades,1,19192.17
1539482,Nombre 487,Apellido 487,10/05/1999,M,08/05/2020,humanidades,1,19214.21
4774323,Nombre 488,Apellido 488,14/03/2005,H,15/03/2024,ingeniería,1,19218.69
1630705,Nombre 489,Apellido 489,08/08/1971,H,24/06/2009,ingeniería,1,19246.98
7246077,Nombre 490,Apellido 490,29/05/1986,H,18/01/2020,ingeniería,1,19247.35
2861193,Nombre 491,Apellido 491,24/07/1990,M,25/03/2015,humanidades,0,
4366874,Nombre 492,Apellido 492,26/09/1973,M,17/02/2000,ingeniería,0,
6991231,Nombre 493,Apellido 493,03/04/1999,M,17/10/2025,ciencias sociales,0,
4503438,Nombre 494,Apellido 494,16/03/1997,H,02/09/2022,humanidades,0,
2500723,Nombre 495,Apellido 495,18/07/1984,M,21/11/2023,medicina,1,19256.38
3789168,Nombre 496,Apellido 496,14/03/1997,M,10/12/2016,medicina,0,
4789063,Nombre 497,Apellido 497,24/04/1975,H,12/06/2013,humanidades,1,19287.19
8224045,Nombre 498,Apellido 498,24/10/1974,H,23/08/2026,medicina,1,19291.51
3166839,Nombre 499,Apellido 499,04/11/1974,H,20/10/2014,ciencias sociales,1,19293.1
3772428,Nombre 500,Apellido 500,12/02/2001,M,12/02/2023,ciencias sociales,1,19295.18
3668963,Nombre 501,Apellido 501,10/03/1990,H,03/05/2014,medicina,0,
5777633,Nombre 502,Apellido 502,19/11/1977,M,24/08/2003,humanidades,1,19296.19
3234563,Nombre 503,Apellido 503,24/06/1997,H,15/05/2018,medicina,1,19301.5
8108993,Nombre 504,Apellido 504,25/05/1992,M,08/03/2020,humanidades,1,19310.69
5928351,Nombre 505,Apellido 505,28/06/1974,M,19/05/2018,ciencias sociales,1,19318.94
7442706,Nombre 506,Apellido 506,20/03/1971,H,15/01/2020,ingeniería,1,19320.3
5011155,Nombre 507,Apellido 507,11/11/1972,M,22/11/1994,ingeniería,0,
2862023,Nombre 508,Apellido 508,24/01/2005,H,17/10/2026,medicina,0,
8151544,Nombre 509,Apellido 509,06/01/1988,M,28/07/2013,humanidades,1,19370.93
9432278,Nombre 510,Apellido 510,24/08/1980,M,15/04/2020,humanidades,1,19377.59
5629162,Nombre 511,Apellido 511,22/11/1985,M,28/08/2020,ciencias sociales,1,19408.51
5621625,Nombre 512,Apellido 512,16/09/1973,M,22/02/2022,ciencias sociales,1,19408.99
9632280,Nombre 513,Apellido 513,13/09/1983,M,09/04/2006,humanidades,1,19412.06
4273990,Nombre 514,Apellido 514,30/08/1996,M,17/12/2022,humanidades,1,19416.27
8125092,Nombre 515,Apellido 515,05/07/2007,M,11/10/2026,medicina,1,19420.35
2466533,Nombre 516,Apellido 516,12/03/1970,M,29/06/2005,humanidades,1,19420.81
1973867,Nombre 517,Apellido 517,18/02/1999,M,30/11/2021,ciencias sociales,0,
4215146,Nombre 518,Apellido 518,06/08/1990,H,01/01/2024,humanidades,1,19429.36
9164718,Nombre 519,Apellido 519,15/05/1996,M,26/12/2024,humanidades,1,19430.91
2217215,Nombre 520,Apellido 520,18/04/2007,M,29/06/2026,ciencias sociales,1,19441.37
7712666,Nombre 521,Apellido 521,25/04/1995,H,31/10/2016,ciencias sociales,1,19449.97
2966296,Nombre 522,Apellido 522,02/03/1986,M,05/09/2018,humanidades,1,19453.46
4528314,Nombre 523,Apellido 523,24/02/1999,M,05/10/2023,humanidades,1,19457.24
6340930,Nombre 524,Apellido 524,03/01/2006,H,28/04/2025,humanidades,1,19485.81
2604237,Nombre 525,Apellido 525,09/05/2000,M,10/03/2020,humanidades,0,
6751859,Nombre 526,Apellido 526,16/04/1984,H,03/06/2011,humanidades,1,19488.58
4378994,Nombre 527,Apellido 527,04/04/1976,M,27/08/2020,ciencias sociales,1,19494.64
3744670,Nombre 528,Apellido 528,22/05/1981,M,25/08/2003,humanidades,1,19498.11
9093842,Nombre 529,Apellido 529,26/09/1996,H,28/08/2024,ciencias sociales,1,19516.44
4838720,Nombre 530,Apellido 530,14/08/1980,H,05/02/2012,ciencias sociales,1,19522.9
8288446,Nombre 531,Apellido 531,26/08/1977,M,18/06/2001,ciencias sociales,1,19543.62
9607540,Nombre 532,Apellido 532,04/12/2001,H,23/12/2020,humanidades,1,19550.75
3584988,Nombre 533,Apellido 533,01/09/1973,H,22/03/2009,ciencias sociales,1,19554.79
6088003,Nombre 534,Apellido 534,13/04/1996,M,22/02/2018,ciencias sociales,1,19576.31
9874492,Nombre 535,Apellido 535,16/08/2001,H,22/11/2022,humanidades,0,
7950599,Nombre 536,Apellido 536,27/08/1980,H,13/11/2008,ciencias sociales,1,19592.05
1742079,Nombre 537,Apellido 537,20/01/1994,H,17/07/2024,ciencias sociales,1,19611.07
4826514,Nombre 538,Apellido 538,04/02/1973,M,01/02/2015,medicina,0,
3405649,Nombre 539,Apellido 539,12/08/1993,H,11/10/2015,ciencias sociales,1,19616.98
5704447,Nombre 540,Apellido 540,08/11/1986,H,12/05/2014,ciencias sociales,1,19642.03
6646615,Nombre 541,Apellido 541,22/09/1984,H,27/07/2011,humanidades,0,
7933663,Nombre 542,Apellido 542,17/08/1975,M,07/09/2025,humanidades,1,19652.57
5578744,Nombre 543,Apellido 543,21/10/1979,M,08/01/2005,humanidades,1,19655.58
4108947,Nombre 544,Apellido 544,12/02/1998,M,19/03/2020,ingeniería,1,19675.07
5913289,Nombre 545,Apellido 545,11/09/1993,H,24/10/2013,humanidades,1,19679.24
4156740,Nombre 546,Apellido 546,08/08/1991,H,13/10/2018,humanidades,1,19685.28
5841232,Nombre 547,Apellido 547,03/08/1993,H,18/09/2015,ciencias sociales,1,19688.52
1827249,Nombre 548,Apellido 548,13/01/1974,M,08/01/2014,humanidades,1,19689.53
4204068,Nombre 549,Apellido 549,02/07/2000,H,19/03/2021,ingeniería,1,19690.84
2369977,Nombre 550,Apellido 550,23/03/1972,M,13/03/2016,medicina,1,19708.5
3820123,Nombre 551,Apellido 551,26/05/1980,M,12/04/2024,ciencias sociales,1,19723.72
8476241,Nombre 552,Apellido 552,26/06/1972,H,07/05/2020,medicina,1,19728.52
2958312,Nombre 553,Apellido 553,20/04/1994,H,01/11/2026,ingeniería,1,19732.82
1998619,Nombre 554,Apellido 554,21/01/2003,H,10/11/2022,ciencias sociales,1,19754.47
2576293,Nombre 555,Apellido 555,08/07/1974,H,18/09/2015,ciencias sociales,1,19754.75
2281184,Nombre 556,Apellido 556,06/03/1982,M,14/12/2003,humanidades,1,19761.14
4798677,Nombre 557,Apellido 557,01/08/1980,M,26/08/2009,ingeniería,1,19776.51
7603496,Nombre 558,Apellido 558,20/01/1972,M,23/11/2013,ciencias sociales,1,19788.8
3005232,Nombre 559,Apellido 559,25/06/1989,M,13/02/2013,ingeniería,0,
9190171,Nombre 560,Apellido 560,28/08/2001,M,31/07/2021,ciencias sociales,1,19816.82
9839336,Nombre 561,Apellido 561,02/03/1973,H,17/02/2009,medicina,1,19820.76
9426941,Nombre 562,Apellido 562,23/05/1983,M,04/10/2002,medicina,1,19844.85
5912592,Nombre 563,Apellido 563,22/05/1994,H,27/06/2024,humanidades,1,19854.5
7266265,Nombre 564,Apellido 564,14/10/1977,M,27/11/2009,medicina,0,
4346316,Nombre 565,Apellido 565,02/04/1973,M,08/07/2003,humanidades,1,19887.05
4915008,Nombre 566,Apellido 566,05/02/1972,M,04/03/2001,ingeniería,0,
8902492,Nombre 567,Apellido 567,12/08/1991,M,18/04/2011,ciencias sociales,1,19902.07
8395849,Nombre 568,Apellido 568,16/07/2001,H,25/06/2021,ciencias sociales,1,19908.12
7547732,Nombre 569,Apellido 569,30/07/1977,M,26/05/2020,ciencias sociales,0,
9555904,Nombre 570,Apellido 570,31/10/1980,M,27/04/2026,ciencias sociales,1,19909.48
9002387,Nombre 571,Apellido 571,18/08/1986,M,02/12/2009,ciencias sociales,0,
4824037,Nombre 572,Apellido 572,16/10/1993,H,22/06/2022,ciencias sociales,1,19952.6
4166462,Nombre 573,Apellido 573,30/11/1991,H,12/01/2014,medicina,1,19956.05
5687810,Nombre 574,Apellido 574,12/06/1992,M,14/05/2014,medicina,1,19963.54
7000542,Nombre 575,Apellido 575,07/11/1992,H,08/07/2018,medicina,1,19964.33
8658929,Nombre 576,Apellido 576,22/06/1981,M,18/04/2005,medicina,0,
9345055,Nombre 577,Apellido 577,08/06/1973,H,13/11/2000,humanidades,1,19978.77
6340931,Nombre 578,Apellido 578,20/02/1994,H,19/01/2020,medicina,0,
4218951,Nombre 579,Apellido 579,13/12/1987,M,02/02/2015,medicina,1,19991.67
4457549,Nombre 580,Apellido 580,07/10/1982,H,04/11/2026,ciencias sociales,1,19996.88
8558158,Nombre 581,Apellido 581,12/09/2001,M,22/12/2023,ciencias sociales,1,20003.08
4251184,Nombre 582,Apellido 582,05/07/1989,H,08/06/2011,ciencias sociales,1,20014.02
1869504,Nombre 583,Apellido 583,07/09/1980,M,21/05/2024,ingeniería,1,20028.65
4660162,Nombre 584,Apellido 584,15/03/1979,M,12/04/2007,humanidades,1,20039.3
5862612,Nombre 585,Apellido 585,23/08/2001,M,23/10/2025,ciencias sociales,1,20039.51
9692829,Nombre 586,Apellido 586,20/09/1976,M,14/01/2011,humanidades,1,20059.39
4543592,Nombre 587,Apellido 587,31/08/1974,M,25/09/2009,ciencias sociales,1,20060.87
6964226,Nombre 588,Apellido 588,01/03/2005,H,02/11/2024,ingeniería,0,
8200972,Nombre 589,Apellido 589,21/07/2003,M,19/02/2025,humanidades,1,20063.2
1762955,Nombre 590,Apellido 590,05/07/2003,H,02/10/2024,ciencias sociales,1,20065.3
5280389,Nombre 591,Apellido 591,20/11/2003,M,04/10/2023,humanidades,0,
5406793,Nombre 592,Apellido 592,30/11/1981,H,15/04/2001,ciencias sociales,0,
4664176,Nombre 593,Apellido 593,13/07/1980,H,01/08/2014,medicina,1,20082.26
6450956,Nombre 594,Apellido 594,22/12/2004,H,11/12/2025,humanidades,0,
7093854,Nombre 595,Apellido 595,25/07/1974,H,17/02/2004,humanidades,1,20085.24
8836741,Nombre 596,Apellido 596,13/10/1989,M,22/04/2022,ciencias sociales,1,20102.74
1281834,Nombre 597,Apellido 597,15/05/1980,H,10/05/2017,ciencias sociales,1,20121.94
7797161,Nombre 598,Apellido 598,11/06/1985,M,18/08/2008,ingeniería,1,20134.24
3030170,Nombre 599,Apellido 599,24/08/2003,H,05/10/2026,medicina,0,
1645571,Nombre 600,Apellido 600,18/05/1979,H,03/04/2016,ciencias sociales,1,20134.57
4025173,Nombre 601,Apellido 601,27/05/1991,H,20/06/2021,humanidades,1,20134.98
6724828,Nombre 602,Apellido 602,29/05/2000,H,18/08/2025,ciencias sociales,0,
